-0.21567,	-0.17883,	-0.07722,	-0.03440,	-0.05581,	-0.10378,	-0.04584,	0.02656,	0.12608,	0.12697,	0.13423,	0.22409,	0.23674,	0.03877,	-0.19121,	-0.21543,	-0.21568,	-0.38103,	-0.42068,	-0.24689,	-0.19518,	-0.12840,	0.09891,	0.22920,	0.32550,	0.38034,	0.36114,	0.44784,	0.64954,	0.75121,	0.72330,	0.70278,	0.59607,	0.50376,	0.49137,	0.49215,	0.52453,	0.53853,	0.43256,	0.18852,	-0.01385,	-0.14287,	-0.14232,	0.00446,	0.14380,	0.27232,	0.26679,	0.23998,	0.17095,	0.11345,
-0.94346,	-0.90673,	-0.87902,	-0.80227,	-0.83762,	-0.80530,	-0.65827,	-0.69536,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-0.81027,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-0.74578,	-0.67560,	-0.54548,
-1.17061,	-1.15134,	-1.11864,	-0.97984,	-0.94901,	-0.99089,	-0.95281,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-0.86997,	-1.05047,	-1.02256,	-1.01917,	-1.10020,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-0.89493,	-0.90392,	-0.88799,	-0.67086,
-1.28720,	-1.26421,	-1.28417,	-1.21082,	-1.14902,	-1.15217,	-1.13351,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-1.04913,	-1.22160,	-1.34685,	-1.27738,	-1.29692,	-1.40936,	-1.56637,	-1.67506,	-1.61635,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-1.23826,	-1.05924,	-1.08113,	-1.08719,	-0.92679,
-1.38137,	-1.32710,	-1.32932,	-1.43266,	-1.46712,	-1.34380,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-1.39919,	-1.37150,	-1.43760,	-1.50477,	-1.57425,	-1.58174,	-1.59609,	-1.74467,	-1.82889,	-1.75371,	-1.64380,	-1.55163,	-1.43547,	-1.44158,	0.00000,	0.00000,	0.00000,	-1.44730,	-1.48888,	-1.43701,	-1.38292,	-1.31890,	-1.27008,	-1.24587,	-1.25533,	-1.42677,	-1.54595,	-1.46264,	-1.26648,	-1.22820,	-1.14912,	-1.02185,
-1.49220,	-1.54148,	-1.52395,	-1.64062,	-1.67289,	-1.49446,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-1.63861,	-1.61420,	-1.58992,	-1.70578,	-1.77692,	-1.76888,	-1.75863,	-1.78362,	-1.92381,	-1.98639,	-1.86727,	-1.74042,	-1.65169,	-1.49895,	-1.46521,	-1.50361,	-1.43812,	-1.27014,	-1.32058,	-1.44174,	-1.45732,	-1.43436,	-1.38480,	-1.34908,	-1.36026,	-1.41081,	-1.61130,	-1.75438,	-1.65228,	-1.37368,	-1.23699,	-1.16745,	-1.11106,
-1.59772,	-1.70310,	-1.79455,	-1.86242,	-1.77099,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-1.67306,	-1.69616,	-1.64670,	-1.72968,	-1.84838,	-1.87593,	-1.92238,	-1.98952,	-2.08705,	-2.11550,	-2.06838,	-1.94906,	-1.71474,	-1.56287,	-1.49883,	-1.49054,	-1.41911,	-1.27422,	-1.29159,	-1.33360,	-1.50086,	-1.53509,	-1.52364,	-1.58388,	-1.55655,	-1.62930,	-1.79983,	-1.82001,	-1.73349,	-1.50016,	-1.30150,	-1.17097,	-1.08584,
-1.83758,	-1.95205,	-1.98091,	-1.93937,	-1.78055,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-1.68226,	-1.73096,	-1.82352,	-1.80311,	-1.85143,	-1.95274,	-2.00999,	-2.13847,	-2.25933,	-2.33507,	-2.26562,	-2.11831,	-2.04072,	-1.82447,	-1.61406,	-1.50993,	-1.48989,	-1.43681,	-1.26682,	-1.21137,	-1.26588,	-1.48490,	-1.59360,	-1.68409,	-1.78909,	-1.73500,	-1.74400,	-1.83019,	-1.81108,	-1.74000,	-1.51873,	-1.32151,	-1.23697,	-1.23594,
-1.97672,	-2.14064,	-2.17905,	-2.03439,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-1.56107,	-1.66346,	-1.80730,	-1.96929,	-2.00683,	-2.04292,	-2.10409,	-2.04629,	-2.15158,	-2.33217,	-2.38170,	-2.28254,	-2.05395,	-1.88678,	-1.74796,	-1.56260,	-1.36814,	-1.34218,	-1.42209,	-1.38100,	-1.29988,	-1.40489,	-1.60084,	-1.62638,	-1.70340,	-1.87295,	-1.89667,	-1.78716,	-1.72137,	-1.73333,	-1.65525,	-1.45099,	-1.25630,	-1.22335,	-1.37687,
-2.08755,	-2.14435,	-2.21779,	-2.08111,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-1.75870,	-1.77592,	-1.86602,	-2.05100,	-2.11373,	-2.14836,	-2.18673,	-2.11531,	-2.17034,	-2.23092,	-2.18197,	-2.14819,	-2.02257,	-1.81044,	-1.66594,	-1.59122,	-1.47669,	-1.38491,	-1.39202,	-1.41735,	-1.40357,	-1.50897,	-1.62952,	-1.64057,	-1.75230,	-1.86315,	-1.80462,	-1.69037,	-1.63386,	-1.56404,	-1.43621,	-1.36545,	-1.29578,	-1.22247,	-1.32983,
-2.20197,	-2.14397,	-2.12463,	-2.04019,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-1.88515,	-1.95761,	-1.99211,	-2.06592,	-2.21284,	-2.23406,	-2.24185,	-2.31704,	-2.21678,	-2.08100,	-2.09409,	-2.01994,	-1.98188,	-1.96456,	-1.80442,	-1.71802,	-1.69938,	-1.70343,	-1.66891,	-1.57078,	-1.48107,	-1.47106,	-1.61990,	-1.68667,	-1.73941,	-1.72149,	-1.74382,	-1.73095,	-1.64674,	-1.52541,	-1.34347,	-1.33036,	-1.38236,	-1.36387,	-1.29789,	-1.36851,
-2.15595,	-2.06957,	-1.99042,	-1.92062,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-1.99175,	-2.04723,	-2.14499,	-2.21914,	-2.33528,	-2.32795,	-2.29617,	-2.36881,	-2.31694,	-2.15163,	-2.12545,	-2.02373,	-1.91130,	-1.88361,	-1.85807,	-1.90558,	-1.89476,	-1.86239,	-1.87404,	-1.79617,	-1.62914,	-1.54834,	-1.66690,	-1.71194,	-1.81475,	-1.81589,	-1.82352,	-1.83273,	-1.72072,	-1.53704,	-1.36535,	-1.40894,	-1.44672,	-1.42118,	-1.42858,	-1.47818,
-2.12518,	-1.98779,	-1.87461,	-1.83917,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-2.03478,	-2.16730,	-2.22275,	-2.16294,	-2.17105,	-2.27660,	-2.40067,	-2.44241,	-2.42927,	-2.33685,	-2.22052,	-2.13266,	-2.11016,	-2.06727,	-2.06299,	-2.16567,	-2.12244,	-2.02270,	-2.02384,	-1.92193,	-1.75618,	-1.68568,	-1.80891,	-1.79024,	-1.78826,	-1.92217,	-1.98885,	-1.85884,	-1.70795,	-1.63295,	-1.52710,	-1.43059,	-1.39929,	-1.54378,	-1.65510,	-1.63176,
-2.15882,	-2.08280,	-1.98462,	-1.95717,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-2.14820,	-2.23585,	-2.24365,	-2.16864,	-2.13675,	-2.30299,	-2.49310,	-2.52368,	-2.52394,	-2.45722,	-2.37313,	-2.32934,	-2.30030,	-2.21307,	-2.23289,	-2.36976,	-2.29834,	-2.16403,	-2.18878,	-2.14948,	-2.03856,	-1.98279,	-2.04419,	-1.93223,	-1.82329,	-1.90969,	-2.04107,	-1.94273,	-1.70686,	-1.58395,	-1.54383,	-1.47724,	-1.44737,	-1.63989,	-1.82654,	-1.87993,
-2.16880,	-2.19515,	-2.15521,	-2.03895,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-2.33560,	-2.28545,	-2.19287,	-2.13671,	-2.19928,	-2.39518,	-2.62095,	-2.75019,	-2.77379,	-2.73727,	-2.66826,	-2.59061,	-2.55353,	-2.49713,	-2.50991,	-2.55838,	-2.47927,	-2.30190,	-2.32027,	-2.37805,	-2.35580,	-2.23615,	-2.15197,	-2.10632,	-2.02953,	-2.00293,	-2.04450,	-1.99817,	-1.84194,	-1.67333,	-1.63648,	-1.69948,	-1.67617,	-1.76573,	-1.89220,	-1.96638,
-2.20236,	-2.20490,	-2.28496,	-2.24641,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-2.46784,	-2.46839,	-2.37640,	-2.32724,	-2.41704,	-2.61652,	-2.81503,	-2.93812,	-2.92024,	-2.85448,	-2.83038,	-2.77992,	-2.74621,	-2.68058,	-2.72734,	-2.80510,	-2.73406,	-2.59783,	-2.57028,	-2.56078,	-2.60152,	-2.52752,	-2.36478,	-2.28304,	-2.16112,	-2.03172,	-2.01677,	-2.01739,	-2.04850,	-2.02160,	-1.96452,	-2.01330,	-2.02844,	-2.10458,	-2.08630,	-2.06092,
-2.27349,	-2.30323,	-2.34211,	-2.41782,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-2.49728,	-2.61368,	-2.58925,	-2.54840,	-2.58197,	-2.73855,	-2.95245,	-3.01448,	-2.96270,	-2.86590,	-2.88000,	-2.79907,	-2.73171,	-2.74249,	-2.82712,	-2.86241,	-2.79710,	-2.83274,	-2.86001,	-2.85596,	-2.76973,	-2.67114,	-2.58596,	-2.45352,	-2.35464,	-2.21011,	-2.17072,	-2.24729,	-2.28445,	-2.24831,	-2.26066,	-2.32354,	-2.28241,	-2.33601,	-2.20916,	-2.10482,
-2.32365,	-2.38380,	-2.41080,	-2.52464,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-2.55231,	-2.64276,	-2.70901,	-2.71071,	-2.71890,	-2.82598,	-2.96489,	-2.95782,	-2.97594,	-2.94154,	-2.94509,	-2.84640,	-2.76471,	-2.78199,	-2.82189,	-2.80591,	-2.76466,	-2.85055,	-2.94358,	-2.97736,	-2.84657,	-2.71995,	-2.65274,	-2.55018,	-2.58923,	-2.57273,	-2.47297,	-2.43772,	-2.47516,	-2.50360,	-2.53277,	-2.57025,	-2.40198,	-2.32148,	-2.21954,	-2.17456,
-2.52719,	-2.52326,	-2.59600,	-2.76182,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-2.61187,	-2.68608,	-2.83804,	-2.82754,	-2.85137,	-2.95093,	-3.02448,	-2.98166,	-2.97615,	-2.88903,	-2.77389,	-2.76182,	-2.74921,	-2.71150,	-2.74061,	-2.79458,	-2.84041,	-2.91707,	-3.03962,	-3.06591,	-3.00579,	-2.95910,	-2.82586,	-2.78723,	-2.86199,	-2.83793,	-2.78148,	-2.66737,	-2.61906,	-2.71923,	-2.75853,	-2.59301,	-2.36058,	-2.28827,	-2.27959,	-2.20301,
-2.71044,	-2.73359,	-2.80203,	-2.95028,	-3.03618,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-2.81804,	-2.82988,	-2.92954,	-2.92601,	-2.95618,	-2.99809,	-3.05585,	-3.04648,	-2.95298,	-2.75663,	-2.65191,	-2.71557,	-2.67145,	-2.55843,	-2.62184,	-2.75403,	-2.84791,	-2.89590,	-3.03279,	-3.11490,	-3.11199,	-3.10330,	-3.00680,	-3.01713,	-3.07817,	-3.06260,	-3.03040,	-2.92533,	-2.81485,	-2.84642,	-2.92023,	-2.71156,	-2.44691,	-2.42784,	-2.42049,	-2.21220,
-2.81293,	-2.93582,	-3.08353,	-3.15224,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-3.05845,	-2.96139,	-3.03056,	-3.07221,	-3.16130,	-3.14310,	-3.02389,	-3.06204,	-2.98585,	-2.76732,	-2.70481,	-2.75377,	-2.65429,	-2.53257,	-2.65976,	-2.82349,	-2.97377,	-2.99080,	-3.04686,	-3.15137,	-3.20483,	-3.15337,	-3.05798,	-3.11823,	-3.14200,	-3.10991,	-3.03165,	-2.95301,	-2.95095,	-2.98649,	-2.98831,	-2.80201,	-2.62987,	-2.54296,	-2.48924,	-2.24568,
-2.95409,	-3.17253,	-3.33627,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-3.06978,	-2.99952,	-3.13664,	-3.21968,	-3.25575,	-3.15356,	-3.04822,	-3.13579,	-3.06726,	-2.87712,	-2.77501,	-2.75276,	-2.63271,	-2.51100,	-2.61398,	-2.74994,	-2.96843,	-3.04984,	-3.13887,	-3.27502,	-3.28700,	-3.19061,	-3.02593,	-3.01018,	-3.03780,	-3.01061,	-2.99468,	-3.02248,	-3.02284,	-3.00329,	-2.93182,	-2.73257,	-2.61807,	-2.51055,	-2.47418,	-2.29503,
-3.08480,	-3.26735,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-3.13884,	-3.18999,	-3.23852,	-3.31086,	-3.38753,	-3.35639,	-3.20238,	-3.21017,	-3.17746,	-2.99245,	-2.89175,	-2.81431,	-2.68168,	-2.58732,	-2.53214,	-2.55915,	-2.70422,	-2.86668,	-2.91794,	-3.13293,	-3.29829,	-3.24146,	-3.13737,	-3.02199,	-2.97047,	-2.99835,	-3.07686,	-3.11282,	-3.12103,	-3.06375,	-2.89727,	-2.75908,	-2.68261,	-2.65850,	-2.55625,	-2.44351,	-2.32626,
-3.13616,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-3.21824,	-3.23820,	-3.32990,	-3.38911,	-3.35242,	-3.32848,	-3.31705,	-3.25258,	-3.20415,	-3.00698,	-2.80447,	-2.73953,	-2.68379,	-2.53630,	-2.40815,	-2.33022,	-2.39275,	-2.56932,	-2.71961,	-2.82378,	-3.02960,	-3.16921,	-3.23238,	-3.22885,	-3.12743,	-3.08161,	-3.09733,	-3.17455,	-3.18172,	-3.13863,	-3.10255,	-2.91703,	-2.66021,	-2.54316,	-2.51369,	-2.36681,	-2.22680,	-2.14421,
-3.20109,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-3.60610,	-3.53396,	-3.42158,	-3.41084,	-3.51447,	-3.57396,	-3.50390,	-3.35911,	-3.18818,	-3.16155,	-3.12438,	-2.86046,	-2.68265,	-2.58155,	-2.46739,	-2.32132,	-2.17885,	-2.09416,	-2.23189,	-2.39093,	-2.56329,	-2.78571,	-2.97446,	-3.15443,	-3.23581,	-3.24496,	-3.15195,	-3.09744,	-3.12746,	-3.18442,	-3.15767,	-3.17722,	-3.16864,	-2.95320,	-2.63488,	-2.38399,	-2.30950,	-2.24627,	-2.18299,	-2.09632,
0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-3.65556,	-3.70199,	-3.66280,	-3.70780,	-3.74844,	-3.72267,	-3.63855,	-3.51624,	-3.35279,	-3.21160,	-3.20509,	-3.14736,	-2.87223,	-2.59579,	-2.37667,	-2.20097,	-2.03060,	-1.97208,	-1.99404,	-2.09133,	-2.19432,	-2.38855,	-2.63575,	-2.87277,	-3.10425,	-3.10612,	-3.04617,	-2.97659,	-2.93368,	-2.97123,	-3.02307,	-3.02823,	-3.13997,	-3.13373,	-2.86046,	-2.58487,	-2.37160,	-2.21584,	-2.11735,	-2.09092,	-2.02330,
0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-3.77766,	-3.77966,	-3.89609,	-4.00271,	-4.04490,	-3.99586,	-3.82436,	-3.67455,	-3.52982,	-3.46587,	-3.43198,	-3.28193,	-3.11547,	-2.90837,	-2.68708,	-2.41023,	-2.10821,	-1.91844,	-1.93171,	-1.95192,	-1.93672,	-2.02123,	-2.28192,	-2.49707,	-2.67385,	-2.90551,	-2.93534,	-2.87176,	-2.84553,	-2.84508,	-2.93404,	-2.97119,	-2.99330,	-3.01311,	-3.01362,	-2.81812,	-2.54714,	-2.36802,	-2.22445,	-2.16889,	-2.11779,	-2.05424,
0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-3.90068,	-3.94590,	-3.98504,	-4.08478,	-4.16025,	-4.10679,	-3.94656,	-3.75124,	-3.64470,	-3.63603,	-3.70253,	-3.70518,	-3.49346,	-3.27526,	-3.09598,	-2.84412,	-2.48908,	-2.21398,	-2.06230,	-1.98684,	-1.85803,	-1.80846,	-1.89584,	-2.10811,	-2.29270,	-2.49344,	-2.76894,	-2.81243,	-2.75732,	-2.79891,	-2.88735,	-2.96645,	-2.94188,	-2.96242,	-2.94543,	-2.86833,	-2.61941,	-2.35968,	-2.22597,	-2.17384,	-2.19639,	-2.16868,	-2.15161,
0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-3.90801,	-3.88340,	-3.97510,	-4.17487,	-4.19106,	-4.08196,	-3.93521,	-3.75358,	-3.57391,	-3.62218,	-3.75766,	-3.75058,	-3.57826,	-3.30022,	-3.13015,	-2.97309,	-2.59079,	-2.31644,	-2.07962,	-1.91905,	-1.76906,	-1.69170,	-1.79283,	-1.86417,	-2.07884,	-2.43613,	-2.65727,	-2.70206,	-2.72060,	-2.75338,	-2.83250,	-2.88002,	-2.86187,	-2.79346,	-2.78823,	-2.80133,	-2.54332,	-2.27310,	-2.18225,	-2.14205,	-2.07580,	-2.02310,	-2.07019,
0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-3.61942,	-3.76537,	-3.82864,	-4.02005,	-4.22236,	-4.16344,	-3.97023,	-3.81166,	-3.74975,	-3.65934,	-3.62781,	-3.68385,	-3.67358,	-3.54174,	-3.35444,	-3.24075,	-3.06318,	-2.63817,	-2.36007,	-2.07955,	-1.84438,	-1.68056,	-1.54344,	-1.58622,	-1.73803,	-2.02905,	-2.30511,	-2.41802,	-2.52827,	-2.60644,	-2.60729,	-2.60674,	-2.60565,	-2.60755,	-2.59678,	-2.67877,	-2.69650,	-2.43627,	-2.15818,	-2.01744,	-2.00107,	-1.97795,	-1.84830,	-1.80871,
0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-3.26593,	-3.50412,	-3.65162,	-3.71840,	-3.96295,	-4.13329,	-4.05786,	-3.93601,	-3.79910,	-3.78278,	-3.74588,	-3.67359,	-3.69039,	-3.63996,	-3.58395,	-3.46860,	-3.25936,	-2.99929,	-2.60874,	-2.30968,	-1.93739,	-1.56131,	-1.43848,	-1.42295,	-1.51876,	-1.83200,	-1.99198,	-2.04204,	-2.21199,	-2.41092,	-2.48252,	-2.47046,	-2.36261,	-2.39691,	-2.44513,	-2.43184,	-2.53396,	-2.51084,	-2.30803,	-2.17297,	-2.02641,	-1.94807,	-1.93074,	-1.82511,	-1.80725,
